SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,15025,15145,15025,15100.75,15081,15124,186,2805797.17,17-Apr-2026,39,IN0020200104
SGBN28VIII,GB,15175,15175,15087.01,15127.76,15135,15175.01,949,14343159.46,17-Apr-2026,48,IN0020200286
SGBMAY29I,GB,15171.15,15188,15061.01,15126.65,15135,15171.14,455,6883717.23,17-Apr-2026,86,IN0020210053
SGBJUN29II,GB,15110,15129.98,15010,15100.04,15099.9,15110,208,3139618.45,17-Apr-2026,35,IN0020210061
SGBJU29III,GB,15085,15160.43,15069.01,15120.21,15120,15187.5,143,2160230.09,17-Apr-2026,39,IN0020210087
SGBSEP29VI,GB,15173.5,15184.99,15037,15108.12,15100,15173.5,262,3960070.02,17-Apr-2026,65,IN0020210145
SGBNV29VII,GB,15200,15200,15051,15150.83,15150,15240,45,680263.71,17-Apr-2026,22,IN0020210178
SGBMAY26,GB,15139.99,15150,15070.01,15150,15150,15180,192,2902480.53,17-Apr-2026,43,IN0020180033
SGBOCT26,GB,15001.01,15099.9,14826,15013,15012,14800,18,269385.85,17-Apr-2026,8,IN0020180249
SGBNOV26,GB,15175,15175,15050,15150,15150,15126.71,92,1386600.00,17-Apr-2026,5,IN0020180314
SGBDEC26,GB,15140,15140,15140,15140,15140,15005.24,41,620740.00,17-Apr-2026,8,IN0020180389
SGBJUN27,GB,15100,15101,15100,15101,15101,15100,24,362420.00,17-Apr-2026,3,IN0020190073
SGBJUL27,GB,14701.03,15100,14700,15100,15100,15000,271,4035517.05,17-Apr-2026,23,IN0020190081
SGBAUG27,GB,15001,15110.99,15001,15069.01,15099.99,15117.57,180,2711880.15,17-Apr-2026,29,IN0020190107
SGBSEP27,GB,15247.88,15247.9,15001,15008,15008,15499.99,11,166499.69,17-Apr-2026,8,IN0020190115
SGBJAN27,GB,15050,15050,15050,15050,15050,15050,1,15050.00,17-Apr-2026,1,IN0020180462
SGBOCT27,GB,15050,15050,15050,15050,15050,14896.79,1,15050.00,17-Apr-2026,1,IN0020190370
SGBOCT27VI,GB,15150,15150,15136,15136,15136,15150.01,5,75722.00,17-Apr-2026,4,IN0020190388
SGBDC27VII,GB,15174.99,15174.99,15005.01,15100,15100,15174.99,86,1298927.59,17-Apr-2026,12,IN0020190461
SGBAPR28I,GB,15250,15326.25,15100,15149.87,15100,15227.66,131,1987890.50,17-Apr-2026,65,IN0020200062
SGBMAY28,GB,15026.1,15125,15025,15108.1,15100,15160.18,86,1297477.98,17-Apr-2026,23,IN0020200088
SGBJUL28IV,GB,15025,15110,15025,15068.19,15050,15105.62,475,7158600.68,17-Apr-2026,41,IN0020200146
SGBFEB28IX,GB,15082,15082,15080,15081.75,15080,15080,10,150818.00,17-Apr-2026,4,IN0020190545
SGBAUG28V,GB,15110,15139.99,14950,15061.61,15100,15115.62,3893,58711991.11,17-Apr-2026,290,IN0020200161
SGBSEP28VI,GB,15008.26,15334.84,15008.26,15123.07,15180,15083.67,386,5818877.23,17-Apr-2026,91,IN0020200195
SGBOC28VII,GB,15099.05,15228.99,14965.9,15100.65,15220,15192.81,113,1704635.76,17-Apr-2026,61,IN0020200203
SGBJ28VIII,GB,15149.9,15149.9,15011,15123,15146,15180,33,497096.67,17-Apr-2026,16,IN0020190537
SGBMAR28X,GB,14902.01,15100,14902.01,15071.17,15070,15100,59,888610.05,17-Apr-2026,16,IN0020190552
SGBJUL29IV,GB,15025.5,15289.99,15025.5,15169,15169,15147.77,85,1284113.93,17-Apr-2026,24,IN0020210111
SGBJAN29IX,GB,15015,15150,15000,15100.54,15145,15130.14,710,10728688.09,17-Apr-2026,75,IN0020200377
SGBAUG29V,GB,15100,15398,15100,15248.01,15398,15202.19,277,4208789.06,17-Apr-2026,42,IN0020210129
SGBD29VIII,GB,15011,15200.01,15011,15168.12,15200,15211.66,332,5029795.23,17-Apr-2026,61,IN0020210228
SGBJAN29X,GB,15070,15150,15026.04,15082.83,15150,15084.3,142,2141741.77,17-Apr-2026,42,IN0020200385
SGBFEB29XI,GB,15090.55,15195.46,15040.01,15089.16,15081.66,15104.88,119,1796721.70,17-Apr-2026,40,IN0020200393
SGBMR29XII,GB,15000,15144.9,15000,15100,15100,15117.62,122,1839352.27,17-Apr-2026,36,IN0020200427
SGBJUN30,GB,15250,15487.99,15151,15312.06,15221,15201.95,170,2593453.13,17-Apr-2026,59,IN0020220045
SGBAUG30,GB,15209.99,15300,15076.01,15248.04,15296,15210.98,202,3073365.30,17-Apr-2026,70,IN0020220078
SGBDE30III,GB,15589.99,15589.99,15200.09,15290,15300,15299.92,168,2572304.61,17-Apr-2026,55,IN0020220110
SGBJAN30IX,GB,15192,15250,15165,15201.45,15165,15195.22,195,2966106.07,17-Apr-2026,43,IN0020210236
SGBMAR30X,GB,15100,15250,15100,15170,15170,15295,44,667837.22,17-Apr-2026,15,IN0020210319
SGBJUN31I,GB,15414.21,15549.99,15351,15494.17,15549.99,15414.21,1129,17433338.17,17-Apr-2026,204,IN0020230069
SGBSEP31II,GB,15236.2,15590,15236.2,15539.7,15550,15424.73,1144,17668286.79,17-Apr-2026,221,IN0020230093
SGBDE31III,GB,15560,15850,15499,15767.21,15849,15580,1899,29737404.12,17-Apr-2026,398,IN0020230168
SGBMAR31IV,GB,15401.05,15474,15352,15450.21,15473,15401.05,363,5594127.03,17-Apr-2026,64,IN0020220169
SGBFEB32IV,GB,16188.67,16389.69,16150.01,16177.21,16150.02,16108.13,1489,24112994.59,17-Apr-2026,318,IN0020230184
20MICRONS,EQ,182.9,186.8,179.5,184.09,182.6,181.89,227793,41680939.48,17-Apr-2026,3256,INE144J01027
21STCENMGM,EQ,32.41,32.41,32.41,32.41,32.41,31.78,2294,74348.54,17-Apr-2026,10,INE253B01015
360ONE,EQ,1084,1124,1078.85,1113.3,1111,1076.45,2641982,2922120573.55,17-Apr-2026,80145,INE466L01038
GOLD360,EQ,147.65,151,146.6,148.2,149.5,148.2,14462,2134053.40,17-Apr-2026,395,INF579M01BB5
SILVER360,EQ,242.19,244.91,241.2,244.46,244.07,244.45,25019,6072248.53,17-Apr-2026,766,INF579M01BC3
3IINFOLTD,EQ,17.75,17.75,17.05,17.46,17.6,17.33,718966,12511843.88,17-Apr-2026,1660,INE748C01038
3MINDIA,EQ,31700,31700,31260,31410,31440,31265,3143,98649805.00,17-Apr-2026,2264,INE470A01017
3PLAND,EQ,36.1,37,35.2,36.25,36.5,35.99,5965,216883.51,17-Apr-2026,243,INE105C01023
5PAISA,EQ,320.65,325.99,315,323.19,320.5,317.3,51866,16689301.13,17-Apr-2026,1398,INE618L01018
63MOONS,EQ,648.2,664.9,645,662.7,663,649.9,180994,118988214.30,17-Apr-2026,7858,INE111B01023
